movie title,imdb id,cast,plot,director,rating,genres,poster,language cinema,votes,year,runtime,languages,trailer
Milan: (1967),61974,"['Sunil Dutt', 'Nutan', 'Jamuna', 'Pran Sikand', 'Surendra', 'Shyama', 'Deven Verma', 'Leela Mishra', 'Mukri', 'Aruna Rai', 'Lata Arora', 'Vinod Sharma', 'Swaraj Gurta', 'T.M. Swamy', 'Joshi', 'Babbanlal Yadav', 'Lalit Kapoor', 'David Abraham', 'Suresh Oberoi']","On the banks of the holy River Ganga, Gopi, a ferryman conducts an unconsummated romance with Radha, a girl from the upper classes. At the same time, he rejects the advances of Gauri, a girl from his own village, who is attracting the unwanted attention of Radha's lecherous uncle. Fate is not kind to them. Radha is married off to a man she doesn't care for and Gopi is severely beaten by thugs sent by Radha's uncle after he prevents him from molesting Gauri. Radha's husband dies suddenly and she returns home in disgrace to find her father is dangerously ill. However, the attraction between Radha and Gopi remains as strong as ever and ugly rumours start to circulate about the nature of their relationship - for which Gopi blames the jealous Gauri. Emotions come to the boil and tragedy results. Fortunately, for all concerned, another birth awaits them......—van Goethem",Adurthi Subba Rao,6.9,"['Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BZDZmMTA0NGUtZTg3ZS00MzhjLWFjMDgtMjdkMjAzZDJlOWIyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,Hindi,201.0,1967.0,['170'],['Hindi'],https://www.youtube.com/embed/Xcx0410JPCo
Aloha Bobby and Rose: (1975),73941,"['Paul Le Mat', 'Dianne Hull', 'Tim McIntire', 'Leigh French', 'Martine Bartlett', 'Noble Willingham', 'Robert Carradine', 'Eric Hines', 'Mario Gallo', 'Tony Gardenas', 'Edward James Olmos', 'Clifton Tip Fredell', 'William Dooley', 'Cliff Emmich', 'David Bond', 'Dorothy Love', 'Bruce Adams', 'Janus Blythe', 'Chuck Dawson', 'Ted Hartley', 'Randee Lynne Jensen', 'Joel Larson', 'Dick Wieand']","A young garage mechanic (Bobby) and fast food hostess (Rose) meet and quickly fall in love. While out on a date one night, Bobby fakes holding up a convenience store. The prank goes horribly wrong, resulting in the death of a young shop keeper. The couple are now on the run from the law and themselves.—Michael Delorme <mdelorme75@hotmail.com>",Floyd Mutrux,6.3,['Drama'],https://m.media-amazon.com/images/M/MV5BZmVkY2E3YzMtYzQxYy00MDgzLWI1ZTctNzhiMWM3MzJiOTRkXkEyXkFqcGdeQXVyMjI4MjA5MzA@.jpg,American,699.0,1975.0,['88'],"['English', 'Spanish']",https://www.youtube.com/embed/lPAW6O1vjuM
Friday Night Plan: (2023),28568397,"['Babil Khan', 'Amrith Jayan', 'Medha Rana', 'Aadhya Anand', 'Ninad Kamat', 'Juhi Chawla', 'Aditya Jain', 'Shashwat Chaturvedi', 'Vyom Vyas', 'Rishabh Joshi', 'Mazda Taraporewala', 'Bhuvnesh Shetty', 'Abhishek Gaikwad', 'Ria Chaudhary', 'Janvi Mehta', 'Veenah Naair', 'Abhishek Ranjan', 'Pranay Singh', 'Virendra Singh', 'Vivek Tandon']","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,6.5,"['Comedy', 'Drama']",https://m.media-amazon.com/images/M/MV5BN2FlMzA3MjktNjA2Zi00YzUyLWIxYTUtNGQ0MTc0NDA3NTcwXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,Hindi,1878.0,2023.0,['108'],['Hindi'],https://www.youtube.com/embed/Lz_jlyGDoqM
Mumbai Can Dance Saalaa: (2015),4355892,"['Shakti Kapoor', 'Prashant Narayanan', 'Aditya Pancholi', 'Rakhi Sawant', 'Ashima Sharma', 'Mukesh Tiwari']",,Sachindra Sharma,1.7,['Drama'],https://m.media-amazon.com/images/M/MV5BYTMwN2RlOWEtNDk5Zi00YWRhLWIzNjQtNDgzYzdjMmIwOGNjXkEyXkFqcGdeQXVyODQwNTI5OTk@.jpg,Hindi,50.0,2015.0,['135'],['Hindi'],https://www.youtube.com/embed/Y-wc7k4yTt4
Dirty Hari: (2020),12071532,"['Shravan Reddy', 'Simratt Kaur Randhawa', 'Ruhani Sharma', 'Roshan Basheer', 'Darbha Appaji Ambarisha', 'Keshav Deepak', 'Sreenidhi Tirumala']","Hari is a man torn between his wife Vasudha and Jasmine. In his greed to lust after both, will he end up losing everything?",M.S. Raju,5.6,"['Drama', 'Romance', 'Thriller']",https://m.media-amazon.com/images/M/MV5BMjlhNTFmNmMtZmUyYS00MjZlLTg2NjUtNDVkZjg1NmYwYWYxXkEyXkFqcGdeQXVyODE5NjIwMjM@.jpg,Telugu,338.0,2020.0,['107'],['Telugu'],https://www.youtube.com/embed/g6_YG6ImrqU
"To Wong Foo, Thanks for Everything! Julie Newmar: (1995)",114682,"['Wesley Snipes', 'Patrick Swayze', 'John Leguizamo', 'Stockard Channing', 'Blythe Danner', 'Arliss Howard', 'Jason London', 'Chris Penn', 'Melinda Dillon', 'Beth Grant', 'Alice Drummond', 'Marceline Hugot', 'Jennifer Milmore', 'Jamie Harrold', 'Mike Hodge', 'Michael Vartan', 'RuPaul', 'Julie Newmar', 'Joel Story', 'Abie Hope Hyatt', 'Jamie Leigh Wolbert', 'Shea Degan', 'Dean Houser', 'Joe Grojean', 'Keith Reddin', 'Naomi Campbell', 'William P. Hopkins', 'Dayton Callie', 'Ron Carley', 'Shea R. Bredenkamp', 'Michael Tushaus', 'Patrick Tuttle', 'Timothy A. Zimmerman', 'Tim Keller', 'Miss Understood', 'Joey Arias', 'Allen Hidalgo', 'Mishell Chandler', 'Catiria Reyes', 'David Drumgold', 'Clinton Leupp', 'Bernard A. Mosca', ""Daniel T. 'Sweetie' Boothe"", 'David Barton', 'Susanne Bartsch', 'Quentin Crisp', 'Flotilla Debarge', 'Matthew Kasten', 'Jose Sarria', 'CoCo LaChine', 'Mike Fulk', 'Niasse N. Mamadou', 'Candis Cayne', 'Princess Diandra', 'Richard Ogden', 'James Palacio', 'Steven Polito', 'Philip Stoehr', 'Margaret H. Flynn', 'Billie J. Diekman', 'Shari Shell-True', 'Jimmy Ashmore', 'George Costacos', 'Chauncey Duren', 'Marshall Factora', 'Brian Ferrari', 'Alphonso King Jr.', 'The Lady Bunny', 'Jesse Wells Martin', 'Chris Place', 'Channing Roos', 'Johnathan Staci Kim', 'Robin Williams', 'Lito Wilson']","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,6.7,"['Comedy', 'Drama']",https://m.media-amazon.com/images/M/MV5BYjZmOTU3MjYtY2NhNi00ZmMxLWE5ZDgtNGVlYjVmOWMxYzI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,American,36382.0,1995.0,['109'],"['English', 'French', 'Italian']",https://www.youtube.com/embed/P2yNnEhsFno
Star Trek VI: The Undiscovered Country: (1991),102975,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'Walter Koenig', 'Nichelle Nichols', 'George Takei', 'Kim Cattrall', 'Mark Lenard', 'Grace Lee Whitney', 'Brock Peters', 'Leon Russom', 'Kurtwood Smith', 'Christopher Plummer', 'Rosanna DeSoto', 'David Warner', 'John Schuck', 'Michael Dorn', 'Paul Rossilli', 'Robert Easton', 'Clifford Shegog', 'William Morgan Sheppard', 'Brett Porter', 'Jeremy Roberts', 'Michael Bofshever', 'Angelo Tiffe', 'Boris Lee Krutonog', 'Christian Slater', 'Iman', 'Tom Morga', 'Todd Bryant', 'John Bloom', 'Jim Boeke', 'Carlos Cestero', 'Edward Clements', 'Katie Johnston', 'Doug Engalla', 'Matthias Hues', 'Darryl Henriques', 'David Orange', 'Judy Levitt', 'Shakti Chen', 'Michael Snyder', 'Lena Banks', 'Shirley Blackwell', 'Faith Burton', 'Eddie Caldwell', 'Max Cervantes', 'Robert Cohen', 'Bret Davidson', 'Clay Hodges', 'Jim Portnoy', 'Evans Ricciardi', 'Denise Lynne Roberts', 'Richard Sarstedt', 'Charlie Skeen', 'Kevin G. Tracey', 'Roma Lee Tracy']","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",Nicholas Meyer,7.2,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",https://m.media-amazon.com/images/M/MV5BYzJiZDdmODQtMDM0Yi00ZTcwLWJjMjItM2QxOWJjZDdmYmQ5XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,American,80720.0,1991.0,['110'],"['English', 'Klingon']",https://www.youtube.com/embed/RYA2q2Sm_Jo
Batman: The Killing Joke: (2016),4853102,"['Kevin Conroy', 'Mark Hamill', 'Tara Strong', 'Ray Wise', 'John DiMaggio', 'Robin Atkin Downes', 'Brian George', 'JP Karliak', 'Andrew Kishino', 'Nolan North', 'Maury Sterling', 'Fred Tatasciore', 'Bruce Timm', 'Anna Vocino', 'Kari Wahlgren', 'Rick D. Wasserman']","As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",Sam Liu,6.4,"['Animation', 'Action', 'Crime', 'Drama', 'Thriller']",https://m.media-amazon.com/images/M/MV5BMTdjZTliODYtNWExMi00NjQ1LWIzN2MtN2Q5NTg5NTk3NzliL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,American,61384.0,2016.0,['76'],['English'],https://www.youtube.com/embed/BjmFe9B9vy8
Troll 2: (1990),105643,"['Michael Paul Stephenson', 'George Hardy', 'Margo Prey', 'Connie Young', 'Robert Ormsby', 'Deborah Reed', 'Jason Wright', 'Darren Ewing', 'Jason Steadman', 'David McConnell', 'Gary F. Carlston', 'Mike Hamill', 'Don Packard', 'Christina Reynolds', 'Glenn Gerner', 'Michele Abrams', 'Lance C. Williams', 'Elli Case', 'Gavin Reed', 'Melissa Bridge Porter', 'Andi Foster', 'Patrick Gibbs', 'Paul Gibbs', 'Ethan Sarphie', 'Hermann Weiskopf']","A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Claudio Fragasso,3.0,"['Comedy', 'Fantasy', 'Horror']",https://m.media-amazon.com/images/M/MV5BZmQ4MzZlZTAtNDRhMC00MTQ2LTkyN2YtNTQ1ZTliM2UwMWNhXkEyXkFqcGdeQXVyMTQ2MjQyNDc@.jpg,American,34621.0,1990.0,['95'],['English'],https://www.youtube.com/embed/CkNB0w1fYKk
Fast & Furious 6: Take Control: (2013),3401738,"['Vin Diesel', 'Paul Walker', 'Justin Lin', 'Michelle Rodriguez', 'Olivier Schneider', 'Jordana Brewster', 'Gina Carano', 'Dwayne Johnson', 'Sung Kang', 'Jason Statham']","Intro by Producer Vin Diesel on how #6 was made with Paul Walker and the Skyline R35, Justin Lin says the title says 'Furious 6,' it was intentional as it was supposed to be the last film for this cast of characters. Vin talks about the character Hobbs and the skill and dominance he brings to the role.—Michael of lillym_325@yahoo.com",,6.6,"['Documentary', 'Short']",https://m.media-amazon.com/images/M/MV5BMGNlNTA3ZjEtMjkzMC00ZmZiLTgwYWEtNTczMmU1OTA2NGNlXkEyXkFqcGdeQXVyMjI1MTU3NTM@.jpg,American,11325.0,2013.0,['19'],['English'],https://www.youtube.com/embed/dKi5XoeTN0k
